1|258074|494828|36.43
2|775838|487461|38.49
3|129433|261120|81.92
4|378460|25631|8.5
5|377319|464929|74.39
6|660785|703138|31.6
7|487183|324375|45.33
8|551684|565678|46.1
9|30534|249304|75.0
10|159993|236104|62.83
11|515736|607390|14.82
12|610783|549235|37.86
13|796237|306351|39.78
14|168701|792346|93.47
15|324795|259926|79.13
16|648395|31069|4.81
17|20982|86751|88.17
18|667334|625595|93.91
19|51396|13891|84.17
20|80907|157021|81.93
21|363079|345608|23.27
22|340890|734569|36.16
23|693332|710449|74.41
24|659018|276745|71.68
25|43355|737403|35.37
26|331376|393193|14.97
27|612894|811472|41.5
28|214933|539088|13.55
29|359881|114938|58.93
30|177341|361029|100.52
31|700765|676706|70.99
32|19408|123451|66.58
33|692311|41888|45.8
34|772416|123981|13.6
35|170595|596356|83.01
36|446241|306421|53.76
37|391260|376771|74.02
38|508966|506475|88.47
39|45152|509290|26.19
40|161198|403745|40.82
41|22397|774804|87.4
42|371251|415787|38.09
43|36277|532836|53.2
44|266360|623820|47.31
45|530743|723717|55.52
46|416519|705225|67.7
47|332300|198877|63.89
48|780967|113974|70.25
49|766938|69651|17.7
50|475969|32169|64.14
51|176267|311765|21.62
52|771034|574351|30.51
53|318938|93026|53.04
54|691821|570836|81.47
55|576282|173294|61.49
56|728244|17968|8.11
57|297867|406720|95.72
58|335089|21300|83.29
59|495933|560006|80.4
60|380994|677424|2.79
61|717469|125728|42.51
62|588994|353763|58.52
63|747410|532058|82.56
64|378408|431559|89.68
65|395481|101559|88.48
66|727160|258229|4.52
67|292739|542054|51.4
68|803595|181997|38.84
69|111958|667133|91.47
70|629242|159879|100.25
71|516451|86313|30.36
72|527695|99542|25.72
73|7823|728822|13.45
74|251388|262951|84.02
75|225998|228363|79.97
76|152252|87890|23.03
77|797376|638381|22.38
78|52846|740948|2.87
79|345598|225349|13.25
80|790102|303375|4.82
81|677507|661782|45.51
82|97754|690068|100.09
83|792838|792085|39.12
84|388746|727589|28.56
85|218870|646727|2.29
86|86220|74978|100.15
87|468341|455652|77.91
88|493665|793212|28.46
89|651858|28036|41.66
90|593896|45719|32.2
91|316131|718192|93.38
92|175069|551253|42.84
93|611309|44255|24.61
94|597535|434154|60.83
95|129181|179362|21.15
96|106253|80787|91.72
97|15697|705349|18.15
98|28137|310829|93.01
99|624418|621246|95.68
100|413768|154819|26.18
101|214718|468421|6.33
102|671802|654236|47.03
103|793928|374146|46.47
104|57977|272346|2.84
105|500557|427647|61.71
106|656157|52080|6.99
107|580351|409357|8.42
108|293129|692578|48.01
