3540|229517|196271|30.92
3544|680490|163541|41.95
3541|177974|1304|48.13
3539|271962|48230|33.73
3546|69481|281817|32.77
3535|725055|669125|90.18
3543|329089|357343|5.58
3532|553155|118309|16.16
3545|733314|69758|50.82
3536|128591|100925|43.52
3533|783847|407801|60.19
3531|504136|9630|88.73
3547|477630|90512|91.23
3537|603715|69313|2.25
3534|508190|186267|20.3
3538|616142|67593|10.63
3542|72517|65297|29.45
3549|682267|573672|93.53
3548|692078|752372|27.67
3550|493660|547382|76.78
3551|519882|481369|83.17
3552|520138|406825|77.07
3553|424952|357624|9.15
3554|509812|375885|41.55
3555|270846|103383|62.58
3556|780099|366582|61.81
3558|193377|562803|53.15
3557|760034|524628|9.51
3559|340002|519403|15.4
3560|259992|693768|86.39
3561|684672|277428|54.0
3562|171073|586549|93.08
3563|546531|282158|29.21
3564|759816|39992|2.77
3566|344473|577957|33.29
3565|687253|648760|22.49
3567|81108|285580|70.05
3569|199394|724413|23.05
3568|355639|320137|95.68
3570|756342|682094|80.24
3571|592354|285980|48.38
3572|244206|178114|11.17
3574|152263|124650|35.01
3573|790162|53927|87.74
3575|429649|46286|5.98
3576|38152|500553|69.53
3577|129458|320005|34.11
3578|551030|725641|38.24
3581|163043|505876|3.96
3580|607121|308845|9.28
3582|585677|130180|72.61
3579|651943|81437|91.14
3585|413862|647052|18.71
3584|405592|441964|30.86
3586|770771|511893|28.61
3583|231819|482423|56.11
3587|212180|717766|65.6
3588|540253|79149|97.2
3589|412529|741948|89.32
3590|794929|137150|81.88
3591|719882|573222|78.15
3592|334947|175177|29.44
3593|673371|704822|68.23
3594|744914|454498|41.4
3595|783497|98272|72.3
3596|456766|759481|16.6
3597|582762|683482|14.29
3598|447167|712564|66.71
3599|675153|22948|63.57
3601|235477|23136|46.14
3600|147738|90481|24.83
3603|168805|361288|58.77
3605|146240|560035|76.76
3604|681315|380017|48.47
3602|785660|754519|23.35
3606|243660|52700|91.45
3607|117030|380078|16.93
3608|716089|249387|94.59
3610|296926|83288|94.52
3609|422891|202096|100.75
3612|494318|636658|41.77
3611|316799|511273|77.04
3613|787883|203255|53.0
3614|591010|611473|8.48
3615|393480|543329|70.68
3616|172102|630403|10.01
3617|79742|658357|67.01
3618|521665|434714|51.6
3619|210859|591489|68.09
3620|449082|503284|48.27
3621|184765|373740|78.18
3622|515681|275495|72.93
3623|617124|166529|100.52
3624|333452|561482|35.03
3626|394351|712962|95.41
3625|18847|605106|88.45
3628|118748|598877|38.41
3627|222475|288629|38.73
3630|721662|335390|89.34
3629|751120|581078|90.54
3632|455746|194289|100.92
3631|590854|140828|15.78
3633|82948|808584|85.1
3634|70329|86633|61.68
3637|239917|215510|76.44
3636|342053|73899|69.74
3641|123253|504867|84.89
3639|149562|138753|26.63
3638|140491|327994|53.08
3640|541087|780343|20.6
3642|354910|569739|64.51
3635|69397|57464|18.68
3644|738765|629782|46.02
3643|374814|687811|21.88
3645|441253|436186|18.11
3646|623345|574705|68.38
3648|590315|729390|8.33
3649|126539|766033|55.69
3647|157927|447437|61.0
3650|708572|513767|53.82
3652|361278|584698|4.34
3651|476413|266330|41.87
3653|703746|275015|85.77
3654|670531|247855|7.73
3655|253452|654343|85.34
3656|715016|808437|76.87
3657|310927|225852|27.59
3658|714435|716678|33.06
3661|190914|589735|12.16
3663|704102|313723|94.62
